LineNumber	Year	Month	Totals	Late	ONTIME
70001	2022	9	5 757	3 254	2 503
70002	2022	9	8 899	2 428	6 471
70011	2022	9	222	92	130
70100	2022	9	501	144	357
70108	2022	9	5 405	1 168	4 237
70109	2022	9	8 209	1 319	6 890
70110	2022	9	648	200	448
70111	2022	9	1 840	372	1 468
70112	2022	9	202	111	91
70113	2022	9	8 295	1 646	6 649
70114	2022	9	169	25	144
70115	2022	9	1 668	322	1 346
70116	2022	9	7 781	2 043	5 738
70117	2022	9	139	61	78
70118	2022	9	466	132	334
70120	2022	9	378	168	210
70121	2022	9	153	90	63
70124	2022	9	788	283	505
70130	2022	9	1 745	405	1 340
9999	2022	9	53 265	14 263	39 002
70001	2023	9	3 053	1 509	1 544
70002	2023	9	4 357	1 345	3 012
70011	2023	9	52	6	46
70100	2023	9	337	110	227
70108	2023	9	2 597	496	2 101
70109	2023	9	3 716	564	3 152
70110	2023	9	399	145	254
70111	2023	9	1 042	241	801
70112	2023	9	92	39	53
70113	2023	9	3 774	710	3 064
70114	2023	9	135	12	123
70115	2023	9	970	245	725
70116	2023	9	3 649	948	2 701
70117	2023	9	71	21	50
70118	2023	9	287	71	216
70120	2023	9	223	45	178
70121	2023	9	72	20	52
70124	2023	9	461	131	330
70130	2023	9	897	142	755
9999	2023	9	26 184	6 800	19 384
70001	2022	10	5 462	2 876	2 586
70002	2022	10	8 626	2 248	6 378
70011	2022	10	176	47	129
70100	2022	10	498	150	348
70108	2022	10	5 190	1 140	4 050
70109	2022	10	7 979	1 094	6 885
70110	2022	10	665	201	464
70111	2022	10	1 822	311	1 511
70112	2022	10	166	86	80
70113	2022	10	8 077	1 474	6 603
70114	2022	10	205	23	182
70115	2022	10	1 653	283	1 370
70116	2022	10	7 325	1 833	5 492
70117	2022	10	128	51	77
70118	2022	10	473	130	343
70120	2022	10	379	134	245
70121	2022	10	142	50	92
70124	2022	10	779	252	527
70130	2022	10	1 671	383	1 288
9999	2022	10	51 416	12 766	38 650
70001	2023	10	1 335	747	588
70002	2023	10	2 165	585	1 580
70011	2023	10	31	3	28
70100	2023	10	173	48	125
70108	2023	10	1 348	264	1 084
70109	2023	10	1 796	298	1 498
70110	2023	10	174	56	118
70111	2023	10	532	141	391
70112	2023	10	42	16	26
70113	2023	10	1 860	360	1 500
70114	2023	10	75	9	66
70115	2023	10	472	138	334
70116	2023	10	1 896	499	1 397
70117	2023	10	39	9	30
70118	2023	10	143	26	117
70120	2023	10	117	20	97
70121	2023	10	40	11	29
70124	2023	10	238	61	177
70130	2023	10	422	61	361
9999	2023	10	12 898	3352	9546
70001	2022	11	5 203	2 924	2 279
70002	2022	11	8 012	2 089	5 923
70011	2022	11	156	37	119
70100	2022	11	494	139	355
70108	2022	11	4 566	1 048	3 518
70109	2022	11	7 166	1 107	6 059
70110	2022	11	686	189	497
70111	2022	11	1 745	294	1 451
70112	2022	11	175	92	83
70113	2022	11	7 197	1 527	5 670
70114	2022	11	206	24	182
70115	2022	11	1 637	286	1 351
70116	2022	11	6 349	1 841	4 508
70117	2022	11	118	41	77
70118	2022	11	460	110	350
70120	2022	11	390	157	233
70121	2022	11	131	45	86
70124	2022	11	784	242	542
70130	2022	11	1 659	346	1 313
9999	2022	11	47 134	12 538	34 596
70001	2023	11	3 865	2 035	1 830
70002	2023	11	5 500	1 523	3 977
70011	2023	11	61	4	57
70100	2023	11	424	118	306
70108	2023	11	3 203	658	2 545
70109	2023	11	4 607	948	3 659
70110	2023	11	479	150	329
70111	2023	11	1 332	351	981
70112	2023	11	105	51	54
70113	2023	11	4 667	1 108	3 559
70114	2023	11	187	23	164
70115	2023	11	1 183	328	855
70116	2023	11	4 577	1 249	3 328
70117	2023	11	92	16	76
70118	2023	11	389	99	290
70120	2023	11	290	62	228
70121	2023	11	99	23	76
70124	2023	11	611	156	455
70130	2023	11	1 150	221	929
9999	2023	11	32 821	9 123	23 698
70001	2022	12	5 352	3 033	2 319
70002	2022	12	8 423	2 532	5 891
70011	2022	12	136	34	102
70100	2022	12	494	198	296
70108	2022	12	4 654	1 257	3 397
70109	2022	12	7 878	1 209	6 669
70110	2022	12	696	225	471
70111	2022	12	1 748	336	1 412
70112	2022	12	164	64	100
70113	2022	12	8 021	1 706	6 315
70114	2022	12	197	32	165
70115	2022	12	1 633	374	1 259
70116	2022	12	6 454	2 083	4 371
70117	2022	12	92	21	71
70118	2022	12	447	117	330
70120	2022	12	359	157	202
70121	2022	12	118	47	71
70124	2022	12	766	269	497
70130	2022	12	1 643	423	1 220
9999	2022	12	49 275	14 117	35 158

