Stop	StopName	Kommunenavn	Dat	Lon	Lat	PublicLineNo	Reisende
Totals	Totals	Totals	Totals	Totals	Totals	Totals	383 462
33352	Dreggveien	Færder	2023-10-04	10.447421	59.208934	113B	1
31378	Vestliveien	Færder	2023-10-01	10.389267	59.257034	116B	1
33346	Dramsås	Færder	2023-10-28	10.431409	59.078507	02	1
31378	Vestliveien	Færder	2023-10-13	10.389267	59.257034	116A	1
33146	Jarlsberg travbane	Tønsberg	2023-10-10	10.36761	59.281715	011	1
33346	Dramsås	Færder	2023-10-26	10.431409	59.078507	02	1
32048	Holtung	Tønsberg	2023-10-16	10.197362	59.43524	121	1
32034	Holtekjærtunet	Færder	2023-10-31	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-30	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-28	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-27	10.406193	59.139309	02	1
33870	Engås	Færder	2023-10-22	10.409095	59.199102	02	1
32034	Holtekjærtunet	Færder	2023-10-26	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-25	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-18	10.406193	59.139309	02	1
33346	Dramsås	Færder	2023-10-12	10.431409	59.078507	02	1
32034	Holtekjærtunet	Færder	2023-10-13	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-10	10.406193	59.139309	02	1
33146	Jarlsberg travbane	Tønsberg	2023-10-09	10.36761	59.281715	124	1
32034	Holtekjærtunet	Færder	2023-10-06	10.406193	59.139309	02	1
32034	Holtekjærtunet	Færder	2023-10-05	10.406193	59.139309	02	1
33881	Blåskjellveien syd	Færder	2023-10-02	10.456108	59.213515	113B	1
33346	Dramsås	Færder	2023-10-11	10.431409	59.078507	02	1
33881	Blåskjellveien syd	Færder	2023-10-04	10.456108	59.213515	113B	1
33346	Dramsås	Færder	2023-10-10	10.431409	59.078507	02	1
30833	Gudruns vei	Tønsberg	2023-10-05	10.457563	59.277608	118	1
33346	Dramsås	Færder	2023-10-05	10.431409	59.078507	02	1
33146	Jarlsberg travbane	Tønsberg	2023-10-09	10.36761	59.281715	121	1
