SpoersmaalNivaa;Spoersmaalgruppekode;Spoersmaalgruppe;Spoersmaalkode;Spoersmaalnavn;Skoleaarnavn;EnhetNivaa;Nasjonaltkode;Nasjonalt;Fylkekode;Fylke;Organisasjonsnummer;EnhetNavn;GruppeNivaa;GruppeKode;GruppeNavn;ProgramomraadeNivaa;UtdanningstypeKode;UtdanningstypeNavn;Utdanningsprogramkode;UtdanningsprogramNavn;TrinnNivaa;TrinnKode;Trinnnavn;KjoennNivaa;KjoennKode;Kjoenn;EierformNivaa;Eierformkode;EierformNavn;Score;Standardavvik;AntallBesvart;AndelSvaralternativ1;AndelSvaralternativ2;AndelSvaralternativ3;AndelSvaralternativ4;AndelSvaralternativ5;AntallBesvartSvaralternativ1;AntallBesvartSvaralternativ2;AntallBesvartSvaralternativ3;AntallBesvartSvaralternativ4;AntallBesvartSvaralternativ5;Sidenummer;RaderSide;RaderTotalt
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575019;Sandefjord videregående skole;1;G202968;2BUA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974574993;Greveskogen videregående skole;1;G202952;1RMB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;990745277;Gjennestad videregående skole;1;G202957;1HO;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;923261354;Horten videregående skole;1;G203053;2SRA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575027;Thor Heyerdahl videregående skole;1;G203053;2SRA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575019;Sandefjord videregående skole;1;G203091;2KOA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974574993;Greveskogen videregående skole;1;G203091;2KOA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575086;Færder videregående skole;1;G203121;2KJA;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575019;Sandefjord videregående skole;1;G203026;1ELB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;1;Videregående trinn 1;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
1;EUIndeks_1380;Støtte fra lærer;EUIndeks_1380;Støtte fra lærer;2021-22;3;I;Hele landet;38;Vestfold og Telemark;974575019;Sandefjord videregående skole;1;G203257;2BUB;0;Alle;Alle utdanningsprogram;Alle;Alle utdanningsprogram;1;2;Videregående trinn 2;0;A;Alle kjønn;0;-10;Alle eierformer;*;*;*;;;;;;;;;;;1;7102;7101
