Arealregnskap[Kommune],Arealregnskap[Arealformålsgruppe],Arealregnskap[Planreservekategori],Arealregnskap[Arealtype],[Dekar]
Færder,16 Havner og småbåthavner,Planlagt og i bruk,Samferdsel,42.561821383646134
Færder,16 Havner og småbåthavner,Planlagt og i bruk,Skog,7.244584691247936
Færder,16 Havner og småbåthavner,Planlagt og i bruk,Åpen fastmark,21.553706646338465
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Bebygd,2.1873391168910197
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Ferskvann,256.88576478414024
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Hav,467900.7577661722
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Myr,0.16415163903405974
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Samferdsel,4.573931117506007
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Skog,5.00546958201982
Færder,"17 Sjø og vassdrag, flerbruk",Planlagt og i bruk,Åpen fastmark,11.696940320526233
Færder,18 Akvakultur,Planlagt og i bruk,Bebygd,3.475940249444372
Færder,18 Akvakultur,Planlagt og i bruk,Hav,1.80897683537175
Færder,18 Akvakultur,Planlagt og i bruk,Samferdsel,2.9208919038034895
Færder,18 Akvakultur,Planlagt og i bruk,Skog,0.037559176871338466
Færder,18 Akvakultur,Planlagt og i bruk,Åpen fastmark,1.536406190856861
Færder,19 Udefinert,Planlagt og i bruk,Bebygd,83.74367415727303
Færder,19 Udefinert,Planlagt og i bruk,Ferskvann,1.1400819040212022
Færder,19 Udefinert,Planlagt og i bruk,Fulldyrka jord,61.9008462949187
Færder,19 Udefinert,Planlagt og i bruk,Hav,51.961978760924666
Færder,19 Udefinert,Planlagt og i bruk,Innmarksbeite,4.862809130704048
Færder,19 Udefinert,Planlagt og i bruk,Myr,0.9503109449455244
Færder,19 Udefinert,Planlagt og i bruk,Samferdsel,13.839906233488167
Færder,19 Udefinert,Planlagt og i bruk,Skog,119.10189020644752
Færder,19 Udefinert,Planlagt og i bruk,Åpen fastmark,33.848323280444596
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Bebygd,4.572336691146084
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Ferskvann,0.17634591444600944
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Fulldyrka jord,123.88506981938674
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Hav,0.04647732285521419
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Innmarksbeite,16.825342355065672
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Overflatedyrka jord,0.7203694394033077
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Skog,1020.1278193087516
Holmestrand,01 Bolig eller sentrumsformål,Antatt planreserve,Åpen fastmark,113.4181397637205
